timestamp,event_severity,recommended_action,original_predicted_load,estimated_reduction_kw,reduction_percent,new_predicted_load,optimization_score,battery_soc_percent,recommendation,approval_status
2017-08-18 13:00:00,ELEVATED,BATTERY_DISCHARGE,551.48,25.0,4.53,526.48,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-22 16:00:00,ELEVATED,COMBINED_ACTION,553.23,67.65,12.23,485.58,26.74,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-24 15:00:00,ELEVATED,BATTERY_DISCHARGE,561.48,25.0,4.45,536.48,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-24 16:00:00,ELEVATED,BATTERY_DISCHARGE,555.87,25.0,4.5,530.87,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-29 11:00:00,ELEVATED,BATTERY_DISCHARGE,552.31,25.0,4.53,527.31,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-29 13:00:00,ELEVATED,COMBINED_ACTION,576.12,65.38,11.35,510.74,25.03,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-08-29 15:00:00,ELEVATED,BATTERY_DISCHARGE,562.75,25.0,4.44,537.75,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-08-31 16:00:00,ELEVATED,COMBINED_ACTION,560.49,88.88,15.86,471.61,42.66,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-01 15:00:00,ELEVATED,BATTERY_DISCHARGE,564.38,25.0,4.43,539.38,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-01 16:00:00,ELEVATED,COMBINED_ACTION,569.92,85.85,15.06,484.07,40.39,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-05 16:00:00,ELEVATED,COMBINED_ACTION,562.14,67.02,11.92,495.12,26.26,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-06 14:00:00,ELEVATED,COMBINED_ACTION,553.91,72.47,13.08,481.44,30.35,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-06 16:00:00,ELEVATED,COMBINED_ACTION,562.0,75.62,13.46,486.38,32.72,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-12 15:00:00,ELEVATED,COMBINED_ACTION,577.82,73.28,12.68,504.54,30.96,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-12 16:00:00,ELEVATED,COMBINED_ACTION,575.97,62.84,10.91,513.13,23.13,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-13 13:00:00,ELEVATED,BATTERY_DISCHARGE,564.43,25.0,4.43,539.43,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-13 15:00:00,ELEVATED,COMBINED_ACTION,553.14,62.09,11.22,491.06,22.57,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-14 14:00:00,ELEVATED,BATTERY_DISCHARGE,556.5,25.0,4.49,531.5,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-14 15:00:00,ELEVATED,BATTERY_DISCHARGE,568.93,25.0,4.39,543.93,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-14 16:00:00,ELEVATED,BATTERY_DISCHARGE,567.53,25.0,4.41,542.53,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-15 14:00:00,ELEVATED,COMBINED_ACTION,567.03,73.38,12.94,493.65,31.03,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-15 15:00:00,ELEVATED,BATTERY_DISCHARGE,562.83,25.0,4.44,537.83,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-15 16:00:00,ELEVATED,COMBINED_ACTION,559.18,74.33,13.29,484.85,31.75,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-18 17:00:00,ELEVATED,BATTERY_DISCHARGE,561.55,25.0,4.45,536.55,6.75,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-19 15:00:00,ELEVATED,BATTERY_DISCHARGE,554.2,25.0,4.51,529.2,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-22 13:00:00,ELEVATED,COMBINED_ACTION,558.62,57.37,10.27,501.24,19.03,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-26 16:00:00,ELEVATED,COMBINED_ACTION,561.32,67.68,12.06,493.64,26.76,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-27 15:00:00,ELEVATED,COMBINED_ACTION,550.87,85.03,15.43,465.84,39.77,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-27 16:00:00,ELEVATED,COMBINED_ACTION,555.51,71.28,12.83,484.23,29.46,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-09-28 13:00:00,ELEVATED,BATTERY_DISCHARGE,553.03,25.0,4.52,528.03,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-09-28 14:00:00,ELEVATED,BATTERY_DISCHARGE,562.93,25.0,4.44,537.93,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-02 12:00:00,ELEVATED,BATTERY_DISCHARGE,553.24,25.0,4.52,528.24,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-02 13:00:00,HIGH,COMBINED_ACTION,594.81,72.9,12.26,521.92,49.61,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-02 14:00:00,HIGH,BATTERY_DISCHARGE,601.8,25.0,4.15,576.8,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-02 15:00:00,HIGH,BATTERY_DISCHARGE,596.09,25.0,4.19,571.09,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-02 16:00:00,HIGH,COMBINED_ACTION,599.96,72.85,12.14,527.12,49.56,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-02 17:00:00,HIGH,BATTERY_DISCHARGE,589.55,25.0,4.24,564.55,14.5,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-03 11:00:00,ELEVATED,BATTERY_DISCHARGE,564.48,25.0,4.43,539.48,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-03 12:00:00,HIGH,BATTERY_DISCHARGE,609.67,25.0,4.1,584.67,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-03 13:00:00,HIGH,COMBINED_ACTION,591.8,65.64,11.09,526.16,43.08,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-03 14:00:00,HIGH,COMBINED_ACTION,604.04,69.7,11.54,534.34,46.73,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-03 15:00:00,HIGH,COMBINED_ACTION,598.22,73.6,12.3,524.63,50.24,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-03 16:00:00,HIGH,COMBINED_ACTION,599.59,61.72,10.29,537.87,39.55,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-03 17:00:00,ELEVATED,COMBINED_ACTION,564.55,74.08,13.12,490.47,31.56,77.5,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-04 12:00:00,ELEVATED,COMBINED_ACTION,554.09,71.91,12.98,482.18,29.93,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-04 13:00:00,CRITICAL,COMBINED_ACTION,618.7,78.05,12.62,540.64,70.05,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-04 14:00:00,HIGH,BATTERY_DISCHARGE,596.26,25.0,4.19,571.26,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-04 15:00:00,ELEVATED,BATTERY_DISCHARGE,575.76,25.0,4.34,550.76,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-04 16:00:00,ELEVATED,BATTERY_DISCHARGE,576.29,25.0,4.34,551.29,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-04 17:00:00,ELEVATED,BATTERY_DISCHARGE,553.58,25.0,4.52,528.58,6.75,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-05 12:00:00,ELEVATED,BATTERY_DISCHARGE,565.24,25.0,4.42,540.24,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-05 13:00:00,HIGH,BATTERY_DISCHARGE,597.91,25.0,4.18,572.91,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-05 14:00:00,HIGH,COMBINED_ACTION,592.46,67.39,11.38,525.07,44.65,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-05 15:00:00,HIGH,COMBINED_ACTION,595.36,83.57,14.04,511.79,59.21,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-05 16:00:00,HIGH,COMBINED_ACTION,609.35,72.18,11.84,537.18,48.96,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-05 17:00:00,ELEVATED,BATTERY_DISCHARGE,563.44,25.0,4.44,538.44,6.75,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-06 13:00:00,ELEVATED,COMBINED_ACTION,569.27,91.5,16.07,477.77,44.62,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-06 14:00:00,ELEVATED,COMBINED_ACTION,566.37,63.15,11.15,503.23,23.36,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-06 15:00:00,ELEVATED,COMBINED_ACTION,572.74,77.72,13.57,495.02,34.29,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-06 16:00:00,ELEVATED,BATTERY_DISCHARGE,573.59,25.0,4.36,548.59,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-10 12:00:00,ELEVATED,COMBINED_ACTION,555.36,74.83,13.47,480.53,32.12,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-10 13:00:00,ELEVATED,BATTERY_DISCHARGE,559.51,25.0,4.47,534.51,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-10 14:00:00,ELEVATED,BATTERY_DISCHARGE,569.44,25.0,4.39,544.44,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-10 15:00:00,ELEVATED,BATTERY_DISCHARGE,557.77,25.0,4.48,532.77,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-10 16:00:00,ELEVATED,BATTERY_DISCHARGE,569.49,25.0,4.39,544.49,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-11 12:00:00,ELEVATED,COMBINED_ACTION,551.13,60.79,11.03,490.34,21.59,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-11 13:00:00,ELEVATED,COMBINED_ACTION,572.29,69.75,12.19,502.54,28.31,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-11 14:00:00,ELEVATED,COMBINED_ACTION,574.25,82.32,14.34,491.93,37.74,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-11 15:00:00,ELEVATED,COMBINED_ACTION,563.62,78.62,13.95,485.0,34.97,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-11 16:00:00,ELEVATED,COMBINED_ACTION,553.73,89.86,16.23,463.87,43.4,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-12 11:00:00,ELEVATED,COMBINED_ACTION,566.21,70.54,12.46,495.66,28.9,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-12 12:00:00,ELEVATED,BATTERY_DISCHARGE,575.04,25.0,4.35,550.04,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-12 13:00:00,ELEVATED,BATTERY_DISCHARGE,570.91,25.0,4.38,545.91,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-12 14:00:00,HIGH,COMBINED_ACTION,585.02,75.5,12.91,509.51,51.95,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-12 15:00:00,HIGH,BATTERY_DISCHARGE,588.21,25.0,4.25,563.21,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-12 16:00:00,CRITICAL,BATTERY_DISCHARGE,620.11,25.0,4.03,595.11,21.0,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-12 17:00:00,HIGH,BATTERY_DISCHARGE,600.74,25.0,4.16,575.74,14.5,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-13 11:00:00,ELEVATED,BATTERY_DISCHARGE,552.02,25.0,4.53,527.02,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-13 12:00:00,HIGH,BATTERY_DISCHARGE,584.84,25.0,4.27,559.84,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-13 13:00:00,HIGH,BATTERY_DISCHARGE,594.34,25.0,4.21,569.34,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-13 14:00:00,HIGH,BATTERY_DISCHARGE,606.54,25.0,4.12,581.54,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-13 15:00:00,ELEVATED,BATTERY_DISCHARGE,580.45,25.0,4.31,555.45,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-13 16:00:00,ELEVATED,COMBINED_ACTION,578.03,61.87,10.7,516.17,22.4,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-16 11:00:00,ELEVATED,COMBINED_ACTION,559.94,77.2,13.79,482.74,33.9,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-16 12:00:00,ELEVATED,COMBINED_ACTION,580.51,54.11,9.32,526.4,16.58,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-16 13:00:00,CRITICAL,BATTERY_DISCHARGE,637.95,25.0,3.92,612.95,21.0,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-16 14:00:00,CRITICAL,BATTERY_DISCHARGE,613.99,25.0,4.07,588.99,21.0,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-16 15:00:00,HIGH,COMBINED_ACTION,592.91,54.28,9.15,538.63,32.85,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-16 16:00:00,HIGH,BATTERY_DISCHARGE,600.16,25.0,4.17,575.16,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-17 11:00:00,ELEVATED,BATTERY_DISCHARGE,578.06,25.0,4.32,553.06,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-17 12:00:00,ELEVATED,COMBINED_ACTION,570.91,96.3,16.87,474.61,48.22,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-17 13:00:00,HIGH,COMBINED_ACTION,587.09,89.8,15.3,497.29,64.82,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-17 14:00:00,HIGH,COMBINED_ACTION,591.64,94.6,15.99,497.04,69.14,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-17 15:00:00,HIGH,COMBINED_ACTION,587.09,67.29,11.46,519.8,44.56,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-17 16:00:00,HIGH,COMBINED_ACTION,586.77,66.67,11.36,520.1,44.0,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-17 17:00:00,ELEVATED,BATTERY_DISCHARGE,576.86,25.0,4.33,551.86,6.75,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-18 11:00:00,ELEVATED,BATTERY_DISCHARGE,554.12,25.0,4.51,529.12,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-18 12:00:00,ELEVATED,BATTERY_DISCHARGE,562.36,25.0,4.45,537.36,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-18 13:00:00,ELEVATED,COMBINED_ACTION,571.93,92.11,16.11,479.81,45.08,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-18 14:00:00,ELEVATED,COMBINED_ACTION,573.44,85.32,14.88,488.12,39.99,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-18 15:00:00,ELEVATED,BATTERY_DISCHARGE,572.69,25.0,4.37,547.69,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-18 16:00:00,HIGH,BATTERY_DISCHARGE,582.67,25.0,4.29,557.67,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-19 11:00:00,ELEVATED,BATTERY_DISCHARGE,555.54,25.0,4.5,530.54,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-19 12:00:00,ELEVATED,COMBINED_ACTION,567.23,72.43,12.77,494.8,30.32,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-19 13:00:00,HIGH,BATTERY_DISCHARGE,592.9,25.0,4.22,567.9,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-19 14:00:00,ELEVATED,BATTERY_DISCHARGE,577.36,25.0,4.33,552.36,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-19 15:00:00,ELEVATED,BATTERY_DISCHARGE,568.1,25.0,4.4,543.1,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-19 16:00:00,HIGH,COMBINED_ACTION,599.7,59.53,9.93,540.17,37.58,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-19 17:00:00,ELEVATED,COMBINED_ACTION,563.72,59.35,10.53,504.37,20.51,77.5,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-20 12:00:00,ELEVATED,BATTERY_DISCHARGE,580.43,25.0,4.31,555.43,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-20 13:00:00,ELEVATED,COMBINED_ACTION,573.78,82.87,14.44,490.91,38.15,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-20 14:00:00,HIGH,COMBINED_ACTION,584.63,58.8,10.06,525.83,36.92,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-20 15:00:00,ELEVATED,COMBINED_ACTION,575.35,70.52,12.26,504.83,28.89,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-20 16:00:00,HIGH,BATTERY_DISCHARGE,596.02,25.0,4.19,571.02,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-23 12:00:00,HIGH,BATTERY_DISCHARGE,586.59,25.0,4.26,561.59,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-23 13:00:00,ELEVATED,BATTERY_DISCHARGE,567.13,25.0,4.41,542.13,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-23 14:00:00,ELEVATED,COMBINED_ACTION,560.41,88.41,15.78,472.0,42.31,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-23 15:00:00,ELEVATED,COMBINED_ACTION,569.91,89.55,15.71,480.37,43.16,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-23 16:00:00,ELEVATED,BATTERY_DISCHARGE,570.18,25.0,4.38,545.18,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-23 17:00:00,ELEVATED,BATTERY_DISCHARGE,578.8,25.0,4.32,553.8,6.75,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-24 12:00:00,ELEVATED,BATTERY_DISCHARGE,560.43,25.0,4.46,535.43,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-24 13:00:00,ELEVATED,BATTERY_DISCHARGE,576.16,25.0,4.34,551.16,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-24 14:00:00,HIGH,BATTERY_DISCHARGE,584.91,25.0,4.27,559.91,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-24 15:00:00,HIGH,BATTERY_DISCHARGE,587.39,25.0,4.26,562.39,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-24 16:00:00,HIGH,BATTERY_DISCHARGE,594.69,25.0,4.2,569.69,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-24 17:00:00,HIGH,BATTERY_DISCHARGE,588.77,25.0,4.25,563.77,14.5,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-25 11:00:00,ELEVATED,COMBINED_ACTION,551.89,88.99,16.12,462.9,42.74,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-25 12:00:00,ELEVATED,COMBINED_ACTION,561.2,75.32,13.42,485.88,32.49,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-25 13:00:00,ELEVATED,BATTERY_DISCHARGE,577.28,25.0,4.33,552.28,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-25 14:00:00,HIGH,COMBINED_ACTION,594.8,80.88,13.6,513.92,56.79,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-25 15:00:00,HIGH,BATTERY_DISCHARGE,600.31,25.0,4.16,575.31,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-25 16:00:00,HIGH,COMBINED_ACTION,598.52,63.59,10.62,534.93,41.23,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-25 17:00:00,HIGH,BATTERY_DISCHARGE,600.92,25.0,4.16,575.92,14.5,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-26 11:00:00,ELEVATED,BATTERY_DISCHARGE,558.04,25.0,4.48,533.04,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-26 12:00:00,ELEVATED,BATTERY_DISCHARGE,558.8,25.0,4.47,533.8,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-26 13:00:00,ELEVATED,BATTERY_DISCHARGE,579.56,25.0,4.31,554.56,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-26 14:00:00,ELEVATED,BATTERY_DISCHARGE,574.51,25.0,4.35,549.51,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-26 15:00:00,HIGH,BATTERY_DISCHARGE,581.46,25.0,4.3,556.46,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-26 16:00:00,HIGH,COMBINED_ACTION,599.52,67.02,11.18,532.51,44.32,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-26 17:00:00,ELEVATED,COMBINED_ACTION,579.15,81.2,14.02,497.95,36.9,77.5,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-27 12:00:00,ELEVATED,COMBINED_ACTION,574.47,94.41,16.43,480.06,46.81,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-27 13:00:00,ELEVATED,COMBINED_ACTION,575.43,63.9,11.11,511.52,23.92,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-27 14:00:00,ELEVATED,BATTERY_DISCHARGE,578.77,25.0,4.32,553.77,6.75,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-27 15:00:00,HIGH,COMBINED_ACTION,595.95,64.46,10.82,531.5,42.01,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-27 16:00:00,ELEVATED,COMBINED_ACTION,572.64,76.78,13.41,495.86,33.58,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-30 13:00:00,HIGH,COMBINED_ACTION,588.63,69.63,11.83,519.0,46.67,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-30 14:00:00,HIGH,COMBINED_ACTION,586.65,74.44,12.69,512.22,51.0,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-30 15:00:00,HIGH,BATTERY_DISCHARGE,597.98,25.0,4.18,572.98,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-30 16:00:00,CRITICAL,COMBINED_ACTION,625.85,89.56,14.31,536.3,81.56,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-30 17:00:00,ELEVATED,BATTERY_DISCHARGE,562.74,25.0,4.44,537.74,6.75,77.5,Discharge the simulated campus battery during the peak period.,PENDING
2017-10-31 13:00:00,ELEVATED,COMBINED_ACTION,553.39,63.37,11.45,490.03,23.53,80.0,"Apply a coordinated simulated HVAC, EV charging and battery action.",PENDING
2017-10-31 14:00:00,HIGH,BATTERY_DISCHARGE,603.03,25.0,4.15,578.03,14.5,80.0,Discharge the simulated campus battery during the peak period.,PENDING
